__table__,key,value
config,me_ads_last_date,2026-05-18
config,fk_ads_last_date,1970-01-01
config,fk_payments_last_date,2026-05-08
config,me_orders_last_date,2026-05-23
config,me_payments_last_date,2026-05-14
config,me_returns_last_date,2026-05-17
config,fk_views_last_date,2026-05-22
config,last_updated,2026-05-27
config,fk_keywords_last_date,2026-04-30
config,processed_file:catalog_Inventory-Update-File_2026-05-23T11-38-53_1244938.xlsx,2026-05-23
config,processed_file:fk_ads_Consolidate ad report.xlsx,2026-05-23
config,processed_file:fk_keywords_Rumme_Keywords_Processed.csv,2026-05-23
config,processed_file:fk_listings_Listing file.xls,2026-05-23
config,processed_file:fk_payments_01_2026.xlsx,2026-05-23
config,processed_file:fk_payments_02_2026.xlsx,2026-05-23
config,processed_file:fk_payments_03_2026.xlsx,2026-05-23
config,processed_file:fk_payments_04_2026.xlsx,2026-05-23
config,processed_file:fk_payments_05_2026.xlsx,2026-05-23
config,processed_file:fk_views_Rumme_Processed_Views.csv,2026-05-23
config,processed_file:me_orders_01_2026.csv,2026-05-23
config,processed_file:me_orders_02_2026.csv,2026-05-23
config,processed_file:me_orders_03_2026.csv,2026-05-23
config,processed_file:me_orders_04_2026.csv,2026-05-23
config,processed_file:me_orders_05_2026.csv,2026-05-23
config,processed_file:me_payments_01_2026.xlsx,2026-05-23
config,processed_file:me_payments_02_2026.xlsx,2026-05-23
config,processed_file:me_payments_03_2026.xlsx,2026-05-23
config,processed_file:me_payments_04_2026.xlsx,2026-05-23
config,processed_file:me_payments_05_2026.xlsx,2026-05-23
config,processed_file:me_returns_Return Meesho 1-22_5_2026.csv,2026-05-23
config,processed_file:me_returns_Return Meesho 1-4_2026.csv,2026-05-23
config,processed_file:me_returns_Return Meesho Last 2 week 05-23-2026.csv,2026-05-23
config,daily_window_start,2025-11-27
config,daily_window_end,2026-05-24
config,keywords_last_updated,2026-05-27
config,processed_file:me_orders_23_05_2026.csv,2026-05-24
config,processed_file:fk_views_05_2026.xlsx,2026-05-24
config,fk_claims_last_date,2026-05-24
config,me_claims_last_date,2026-05-09
config,processed_file:fk_claims_claim_report till 27 may 26.xlsx,2026-05-27
config,processed_file:me_ads_meesho_campaign_report_2026-05-23.xlsx,2026-05-27
config,processed_file:me_ads_meesho_campaign_report_2026-05-24.xlsx,2026-05-27
config,processed_file:me_claims_Supplier-1244938_Status-all_Created-from-26-02-2026-to-27-05-2026.csv,2026-05-27
__table__,month,label,gmv,settlement,orders,returns,ad_spend
fk_monthly,2025-12,Dec,5198.0,2557.28,32.0,17.0,0.0
fk_monthly,2026-01,Jan,124151.0,68080.09,576.0,288.0,0.0
fk_monthly,2026-02,Feb,216955.0,125238.58,850.0,457.0,0.0
fk_monthly,2026-03,Mar,224543.0,136620.95,917.0,505.0,0.0
fk_monthly,2026-04,Apr,314930.0,169408.39,1277.0,826.0,0.0
fk_monthly,2026-05,May,54750.0,30139.67,246.0,150.0,0.0
__table__,month,label,gmv,settlement,orders,returns,ad_spend
me_monthly,2025-11,Nov,0.0,73.14,0.0,0.0,0.0
me_monthly,2025-12,Dec,0.0,16650.0,0.0,0.0,0.0
me_monthly,2026-01,Jan,90944.0,39344.96,449.0,65.0,231.93
me_monthly,2026-02,Feb,83214.0,52045.38,385.0,34.0,422.94
me_monthly,2026-03,Mar,160916.0,69724.22,760.0,90.0,0.0
me_monthly,2026-04,Apr,234191.0,109234.59,1066.0,133.0,2288.35
me_monthly,2026-05,May,68685.0,26375.62,327.0,29.0,1821.25
__table__,sku_id,name,type,mrp,selling,settlement,stock,ctr,ad_revenue,conversions,ad_views
fk_skus,dj5b,DJ-5 Bahubali,,0.0,0.0,189370.04,0.0,4.55,541983.0,1340.0,1277883.0
fk_skus,dj7b,Bahubali DJ7,,0.0,0.0,101366.53,0.0,11.17,285875.0,702.0,327964.0
fk_skus,dj3b,Bahubali DJ3,,0.0,0.0,64903.45,0.0,0.15,178115.0,513.0,706195.0
fk_skus,dj6b,DJ-6 Bahubali,,0.0,0.0,64621.11,0.0,3.25,183922.0,403.0,414740.0
fk_skus,dj11b,DJ-11 Bahubali,,0.0,0.0,27119.64,0.0,8.92,105571.0,206.0,159848.0
fk_skus,dj1b,Bahubali DJ1 Small,,0.0,0.0,25047.25,0.0,1.17,65124.0,165.0,91731.0
fk_skus,ogdj6,OG DJ-6,,0.0,0.0,15686.91,0.0,1.75,58780.0,135.0,237000.0
fk_skus,ogdj5,OG DJ-5,,0.0,0.0,8625.25,0.0,1.23,30859.0,88.0,156565.0
fk_skus,dj5b2,DJ-5 Bahu (2),,0.0,0.0,10459.95,0.0,8.89,28360.0,56.0,76014.0
fk_skus,dj4b,DJ-4 Bahubali,,0.0,0.0,6664.23,0.0,0.02,17721.0,49.0,20374.0
fk_skus,coin-fk,Coin Pearl Choker,,0.0,0.0,3250.83,0.0,0.08,12821.0,53.0,230265.0
fk_skus,dj14b,DJ-14 Bahubali,,0.0,0.0,2737.54,0.0,111.1,41502.0,26.0,19073.0
fk_skus,njo2,NJO-2 Silver Bahubali,,0.0,0.0,1925.49,0.0,0.19,7637.0,24.0,158027.0
fk_skus,nj2-1,NJ2-1,,0.0,0.0,2038.88,0.0,0.22,9139.0,22.0,291952.0
fk_skus,ogdj14,OG DJ-14,,0.0,0.0,1302.43,0.0,7.15,6865.0,13.0,34410.0
fk_skus,gb1,GB1,,0.0,0.0,840.75,0.0,4.64,2691.0,10.0,25254.0
fk_skus,nj-sm,NJ Small,,0.0,0.0,609.05,0.0,0.47,2690.0,13.0,62523.0
fk_skus,nj-mini,NJ Mini,,0.0,0.0,803.13,0.0,0.08,2399.0,10.0,53669.0
fk_skus,fk-dj-2-bahubali,DJ-2 Bahubali,,0.0,0.0,143.5,0.0,0.28,1888.0,6.0,34851.0
fk_skus,ogdj11,OG DJ-11,,0.0,0.0,683.02,0.0,0.89,1244.0,4.0,9399.0
fk_skus,fk-gb2,GB2,,0.0,0.0,133.56,0.0,0.01,1360.0,5.0,19713.0
fk_skus,fk-og-nj-3-three,OG NJ-3 THREE,,0.0,0.0,447.09,0.0,0.41,1105.0,4.0,47464.0
fk_skus,fk-nj-3,NJ-3,,0.0,0.0,576.61,0.0,1.05,1764.0,5.0,73945.0
fk_skus,fk-oc1,OC1,,0.0,0.0,659.23,0.0,0.47,1639.0,6.0,42956.0
fk_skus,fk-t-jhumka-1,T jhumka 1,,0.0,0.0,317.48,0.0,1.46,687.0,4.0,43083.0
fk_skus,fk-nj2,NJ2,,0.0,0.0,149.52,0.0,0.07,1020.0,4.0,33206.0
fk_skus,dj8,DJ-8,,0.0,0.0,105.72,0.0,0.12,732.0,2.0,27271.0
fk_skus,fk-pmc1,PMC1,,0.0,0.0,161.79,0.0,0.69,1322.0,5.0,9703.0
fk_skus,fk-dj-3,DJ-3,,0.0,0.0,175.97,0.0,0.37,1121.0,3.0,40585.0
fk_skus,fk-yj3,YJ3,,0.0,0.0,186.94,0.0,0.34,882.0,4.0,29600.0
fk_skus,fk-bahubali-chain-combo-1,Bahubali Chain COMBO 1,,0.0,0.0,316.96,0.0,0.83,405.0,1.0,6723.0
