design,variation,sku_id,sku_name,platform,status,notes
MJC-3,Base,fk-mjc3,MJC3,fk,auto,
NECKLACE,Base,fk-necklace--1,NECKLACE (1),fk,auto,
COMBO-1,Base,fk-new-combo-1,New Combo 1,fk,needs_review,Other variations exist: Bahubali
COMBO-2,Base,fk-new-combo-2,New Combo 2,fk,auto,
COMBO-3,Base,fk-new-combo-3,New Combo 3,fk,auto,
NJ-3,Base,fk-nj-3,NJ-3,fk,needs_review,Other variations exist: OG
NJ-2,Base,fk-nj2,NJ2,fk,needs_review,Other variations exist: Bahubali
NJ-3,Base,fk-nj3,NJ3,fk,needs_review,Other variations exist: OG
OC-1,Base,fk-oc1,OC1,fk,auto,
OC-2,Base,fk-oc2,OC2,fk,auto,
OC-3,Base,fk-oc3,OC3,fk,auto,
OE-11,Bahubali,fk-oe-11-bahubali,OE-11 Bahubali,fk,auto,
OE-2,Bahubali,fk-oe-2-bahubali,OE-2 Bahubali,fk,auto,
OE-3,Bahubali,fk-oe-3-bahubali,OE-3 Bahubali,fk,auto,
OE-8,Bahubali,fk-oe-8-bahubali,OE-8 Bahubali,fk,auto,
OE-9,Bahubali,fk-oe-9-bahubali,OE-9 Bahubali,fk,auto,
DJ-12,OG,fk-og-dj-12-green,OG DJ-12 GREEN,fk,auto,
NJ-3,OG,fk-og-nj-3-three,OG NJ-3 THREE,fk,auto,
NJ-2,Base,fk-original-nj2-shopsy,Original NJ2 Shopsy,fk,needs_review,Other variations exist: Bahubali
NJ-3,Base,fk-original-nj3-shopsy,Original NJ3 Shopsy,fk,needs_review,Other variations exist: OG
OXIDIZED-COMBO-1,Base,fk-oxidized-combo-1--1,OXIDIZED COMBO-1 (1),fk,auto,
OXIDIZED-COMBO-2,Base,fk-oxidized-combo-2--1,OXIDIZED COMBO-2 (1),fk,auto,
BANGLE,Base,fk-p-bangle-8--2-4,P BANGLE 8 (2.4),fk,auto,
BANGLE,Base,fk-p-bangle-8--2-6,P BANGLE 8 (2.6),fk,auto,
BANGLE,Base,fk-p-bangle-8--2-8,P BANGLE 8 (2.8),fk,auto,
PMC-1,Base,fk-pmc-1,PMC-1,fk,auto,
PMC-2,Base,fk-pmc-2,PMC-2,fk,auto,
PMC-1,Base,fk-pmc1,PMC1,fk,auto,
PMC-10,Base,fk-pmc10,PMC10,fk,auto,
PMC-11,Base,fk-pmc11,PMC11,fk,auto,
PMC-12,Base,fk-pmc12,PMC12,fk,auto,
PMC-13,Base,fk-pmc13,PMC13,fk,auto,
PMC-14,Base,fk-pmc14,PMC14,fk,auto,
PMC-16,Base,fk-pmc16,PMC16,fk,needs_review,Other variations exist: OG
PMC-17,Base,fk-pmc17,PMC17,fk,auto,
PMC-18,Base,fk-pmc18,PMC18,fk,auto,
PMC-2,Base,fk-pmc2,PMC2,fk,auto,
PMC-3,Base,fk-pmc3,PMC3,fk,auto,
PMC-4,Base,fk-pmc4,PMC4,fk,auto,
PMC-5,Base,fk-pmc5,PMC5,fk,auto,
PMC-6,Base,fk-pmc6,PMC6,fk,auto,
PMC-7,Base,fk-pmc7,PMC7,fk,auto,
PMC-8,Base,fk-pmc8,PMC8,fk,auto,
PMC-9,Base,fk-pmc9,PMC9,fk,auto,
RC-1,Base,fk-rc-1,RC-1,fk,auto,
RC-3,Base,fk-rc-3,RC-3,fk,auto,
UNKNOWN,Base,fk-rc-b,RC-B,fk,needs_review,Design could not be auto-detected
UNKNOWN,Base,fk-rc-r,RC-R,fk,needs_review,Design could not be auto-detected
S-5678,Base,fk-s-5678,S-5678,fk,auto,
SC-1,Base,fk-sc1,SC1,fk,auto,
SILVER-KASHMIRI-1,Silver,fk-silver-kashmiri-1--1,SILVER KASHMIRI-1 (1),fk,auto,
SILVER-KASHMIRI-2,Silver,fk-silver-kashmiri-2--1,SILVER KASHMIRI-2 (1),fk,auto,
JHUMKA,Base,fk-t-jhumka-1,T jhumka 1,fk,auto,
YJ-12,Base,fk-yj-12,YJ(12),fk,auto,
BUTTERFLY-BOW,Base,fk-yj-butterfly-earring,YJ Butterfly Earring,fk,auto,
YJ-1,Base,fk-yj1,YJ1,fk,auto,
YJ-2,Base,fk-yj2,YJ2,fk,auto,
YJ-3,Base,fk-yj3,YJ3,fk,auto,
YJC-1,Base,fk-yjc-1,YJC-1,fk,auto,
GB-1,Base,gb1,GB1,fk,auto,
BLACK-JHUMKA,Black,me-black-jhumka,Black Jhumka,me,auto,
DJ-1,Bahubali,me-dj-1-bahubali,DJ-1 Bahubali,me,auto,
DJ-11,Bahubali,me-dj-11-bahubali--4,DJ-11 BAHUBALI (4),me,auto,
DJ-14,Bahubali,me-dj-14-bahubali-five--2,DJ-14 BAHUBALI FIVE (2),me,auto,
DJ-16,Base,me-dj-16,DJ-16,me,auto,
DJ-2,Base,me-dj-2,DJ-2,me,needs_review,Other variations exist: Bahubali
DJ-5,Bahubali,me-dj-5-bahubali-five--1,DJ-5 Bahubali Five (1),me,auto,
DJ-5,Bahubali,me-dj-5-bahubali-five--4,DJ-5 BAHUBALI FIVE (4),me,auto,
DJ-7,Bahubali,me-dj-7-bahubali--1,DJ-7 Bahubali (1),me,auto,
DJ-2,Bahubali,me-dj2-bahubali,DJ2 Bahubali,me,auto,
DN-5,Green,me-dn-5-green,DN-5-GREEN,me,auto,
DN-5,Purple,me-dn-5-purple,DN-5-PURPLE,me,auto,
DN-8,Blue,me-dn-8-blue,DN-8-BLUE,me,auto,
DN-8,Green,me-dn-8-green,DN-8-GREEN,me,auto,
DN-8,Orange,me-dn-8-orange,DN-8-ORANGE,me,auto,
KAMARBAND,Base,me-kamarband-1,KAMARBAND-1,me,auto,
ME-21,Bahubali,me-me21-bahubali,ME21 Bahubali,me,auto,
NECKLACE,Base,me-necklace-1,NECKLACE-1,me,auto,
COMBO-2,Base,me-new-combo-2,New Combo 2,me,auto,
NJ-2,Bahubali,me-nj-2-bahubali,NJ_2 Bahubali,me,auto,
NJ-2,Base,me-nj2,NJ2,me,needs_review,Other variations exist: Bahubali
OE-8,Bahubali,me-oe8-bahubali,OE8 Bahubali,me,auto,
DJ-1,OG,me-og-dj-1-s,OG DJ-1 S,me,auto,
DJ-12,OG,me-og-dj-12-pink,OG DJ-12 PINK,me,auto,
DJ-3,OG,me-og-dj-3,OG DJ-3,me,auto,
DJ-8,OG,me-og-dj-8,OG DJ-8,me,auto,
DJ-1,OG,me-og-dj1-small,OG DJ1 Small,me,auto,
DJ-8,OG,me-og-dj8,OG DJ8,me,auto,
PMC-16,OG,me-og-pmc16,OG PMC16,me,auto,
SC-10,Base,me-sc10,SC10,me,auto,
SC-3,Base,me-sc3,SC3,me,auto,
SILVER-COMBO-1,Silver,me-silver-combo-1,Silver Combo 1,me,auto,
NJ-2,Bahubali,me-small-nj2-bahubali,Small NJ2 Bahubali,me,auto,
TURKMAAN-JHUMKA,Base,me-turkmaan-radha-krishna-jhumka,Turkmaan Radha Krishna Jhumka,me,auto,
UNKNOWN,Base,nj-mini,NJ Mini,fk,needs_review,Design could not be auto-detected
UNKNOWN,Base,nj-sm,NJ Small,fk,needs_review,Design could not be auto-detected
NJ-2,Base,nj2-1,NJ2-1,fk,needs_review,Other variations exist: Bahubali
NJ-2,Base,nj2-me,Original NJ2,me,needs_review,Other variations exist: Bahubali
NJO-2,Bahubali,njo2,NJO-2 Silver Bahubali,fk,auto,
DJ-11,OG,ogdj11,OG DJ-11,fk,auto,
DJ-11,OG,ogdj11-me,OG DJ-11,me,auto,
DJ-13,OG,ogdj13,OG DJ-13,fk,auto,
DJ-13,OG,ogdj13-me,OG DJ-13,me,auto,
DJ-14,OG,ogdj14,OG DJ-14,fk,auto,
DJ-14,OG,ogdj14-me,OG DJ 14,me,auto,
DJ-5,OG,ogdj5,OG DJ-5,fk,auto,
DJ-5,OG,ogdj5-me,OG DJ5 Five,me,auto,
DJ-6,OG,ogdj6,OG DJ-6,fk,auto,
DJ-6,OG,ogdj6-me,OG DJ-6,me,auto,
DJ-7,OG,ogdj7-me,OG DJ-7,me,auto,
SC-8,Base,sc8-me,SC8,me,auto,
